soil_moisture,temperature,humidity,soil_type,season,recommended_crop
70.2,27.3,60.6,loamy,kharif,maize
66.5,22.0,75.6,loamy,kharif,maize
52.0,19.5,52.6,silty,rabi,wheat
62.2,26.7,80.4,clay,kharif,sugarcane
45.7,26.1,48.8,loamy,kharif,sunflower
51.4,21.6,65.7,sandy,kharif,sunflower
32.6,17.1,57.3,sandy,rabi,mustard
50.8,24.7,49.9,loamy,rabi,wheat
58.6,30.3,66.0,loamy,kharif,maize
76.8,31.4,74.1,clay,kharif,rice
33.1,16.9,44.1,sandy,rabi,mustard
70.6,35.3,83.6,clay,kharif,sugarcane
92.0,28.8,89.5,silty,kharif,rice
41.1,35.7,51.9,sandy,kharif,cotton
77.3,26.1,87.9,silty,kharif,rice
57.2,29.0,61.8,loamy,kharif,sunflower
50.9,18.6,63.9,clay_loam,rabi,wheat
97.8,30.9,81.6,clay,kharif,rice
46.9,33.5,59.3,sandy,kharif,cotton
49.1,30.7,64.8,sandy,kharif,sunflower
96.8,29.1,78.3,silty,kharif,rice
61.6,34.9,78.7,clay,kharif,sugarcane
31.3,9.4,59.4,sandy,rabi,mustard
47.4,21.9,50.7,clay_loam,rabi,chickpea
59.2,20.9,60.3,clay_loam,kharif,maize
36.2,15.7,46.6,loamy,rabi,chickpea
35.5,36.3,54.0,sandy,kharif,cotton
84.5,32.1,86.8,clay,kharif,rice
46.8,36.9,66.0,loamy,kharif,cotton
70.5,33.9,85.1,clay_loam,kharif,sugarcane
36.5,17.8,56.6,sandy,rabi,mustard
82.4,27.5,82.5,clay,kharif,sugarcane
65.1,25.3,60.5,loamy,kharif,maize
74.8,28.4,81.1,clay,kharif,rice
58.3,22.0,77.7,clay_loam,kharif,maize
39.7,18.9,62.0,loamy,rabi,wheat
54.3,24.3,68.0,loamy,rabi,wheat
46.6,18.3,52.8,silty,rabi,wheat
27.6,29.4,54.0,sandy,kharif,cotton
36.7,13.6,55.5,loamy,rabi,mustard
59.2,22.3,66.5,loamy,rabi,wheat
27.1,14.3,46.5,sandy,rabi,mustard
92.0,34.0,75.6,silty,kharif,rice
59.5,20.1,83.0,loamy,kharif,maize
76.3,28.8,84.6,clay,kharif,sugarcane
45.6,21.7,64.6,loamy,kharif,sunflower
34.0,31.2,54.8,loamy,kharif,cotton
75.6,26.8,73.6,clay,kharif,sugarcane
58.6,31.3,77.4,clay_loam,kharif,maize
62.3,26.7,63.3,clay_loam,kharif,maize
59.7,30.2,84.8,clay_loam,kharif,sugarcane
48.0,19.5,56.1,loamy,rabi,chickpea
78.6,32.3,77.2,clay_loam,kharif,sugarcane
29.6,10.5,56.6,sandy,rabi,mustard
43.4,29.9,58.7,sandy,kharif,cotton
39.1,32.1,55.2,loamy,kharif,cotton
25.2,11.0,45.2,loamy,rabi,mustard
44.0,19.9,55.9,loamy,rabi,wheat
53.9,25.7,60.4,silty,rabi,wheat
24.6,16.7,43.2,loamy,rabi,mustard
51.9,37.3,61.3,sandy,kharif,cotton
47.4,20.6,58.7,silty,rabi,wheat
44.3,18.1,64.1,loamy,rabi,chickpea
31.4,17.8,50.5,loamy,rabi,mustard
35.3,14.4,39.5,sandy,rabi,mustard
75.5,28.7,78.7,clay,kharif,rice
50.6,37.9,52.1,loamy,kharif,cotton
70.9,34.3,78.0,clay_loam,kharif,sugarcane
52.1,17.8,63.3,loamy,rabi,wheat
56.6,21.5,73.3,loamy,kharif,maize
48.0,22.0,55.0,clay_loam,rabi,chickpea
41.4,22.7,59.1,silty,rabi,wheat
74.9,35.1,79.9,silty,kharif,rice
86.2,30.9,73.9,clay_loam,kharif,sugarcane
39.5,15.3,60.6,sandy,rabi,mustard
24.6,18.1,49.4,loamy,rabi,mustard
79.9,26.6,83.5,clay,kharif,rice
42.7,21.5,59.0,silty,rabi,wheat
41.0,15.7,59.4,loamy,rabi,wheat
77.1,34.8,93.0,silty,kharif,rice
40.7,29.9,64.6,loamy,kharif,cotton
51.7,28.9,51.6,loamy,kharif,cotton
61.1,19.1,55.8,clay_loam,kharif,maize
31.2,32.7,62.5,sandy,kharif,cotton
34.3,30.4,55.4,loamy,kharif,cotton
51.6,20.9,69.8,loamy,kharif,maize
60.1,26.3,63.4,loamy,kharif,maize
66.7,29.7,72.6,clay_loam,kharif,sugarcane
85.5,32.5,81.6,silty,kharif,rice
45.2,35.4,57.6,sandy,kharif,cotton
73.9,31.1,70.3,clay_loam,kharif,sugarcane
50.8,24.0,63.1,clay_loam,kharif,maize
51.6,24.3,68.7,loamy,kharif,sunflower
45.7,23.5,71.7,loamy,kharif,sunflower
59.5,14.3,49.4,silty,rabi,wheat
55.2,23.9,71.0,loamy,kharif,maize
32.0,33.6,59.8,sandy,kharif,cotton
37.3,32.0,56.4,sandy,kharif,cotton
61.2,22.1,61.1,loamy,kharif,sunflower
66.6,27.1,62.9,clay_loam,kharif,maize
40.9,15.6,53.9,clay_loam,rabi,chickpea
54.1,21.2,53.2,clay_loam,rabi,wheat
44.8,27.3,54.7,loamy,kharif,sunflower
75.4,33.4,80.4,clay,kharif,sugarcane
28.5,38.9,57.5,sandy,kharif,cotton
52.0,22.8,57.0,loamy,kharif,maize
32.1,19.4,55.2,loamy,rabi,chickpea
48.8,14.0,56.6,loamy,rabi,mustard
31.6,31.9,53.9,loamy,kharif,cotton
29.9,15.8,46.1,clay_loam,rabi,chickpea
67.8,22.2,73.1,clay_loam,kharif,maize
25.9,15.8,44.3,loamy,rabi,mustard
82.9,27.5,80.1,clay,kharif,sugarcane
92.0,32.0,80.8,silty,kharif,rice
42.3,13.6,48.6,sandy,rabi,mustard
55.0,28.0,66.6,loamy,kharif,sunflower
49.4,15.0,62.9,loamy,rabi,wheat
65.3,30.3,81.3,clay_loam,kharif,sugarcane
63.0,31.9,71.8,loamy,kharif,maize
49.5,22.2,51.6,loamy,rabi,chickpea
64.8,28.8,66.5,clay_loam,kharif,maize
39.4,33.3,61.4,loamy,kharif,cotton
82.5,30.1,86.9,silty,kharif,rice
67.7,26.2,79.5,clay,kharif,sugarcane
39.0,11.5,42.4,sandy,rabi,mustard
81.3,33.7,80.6,clay_loam,kharif,sugarcane
75.7,29.5,67.7,clay,kharif,sugarcane
64.8,23.8,71.1,loamy,kharif,maize
50.2,22.6,60.8,loamy,kharif,sunflower
59.1,18.5,63.3,loamy,rabi,wheat
39.3,18.3,59.1,loamy,rabi,wheat
78.8,32.5,74.9,clay,kharif,sugarcane
77.8,33.6,81.3,silty,kharif,rice
81.9,34.1,86.2,clay,kharif,sugarcane
70.6,28.6,74.1,clay_loam,kharif,sugarcane
72.0,33.7,84.2,clay,kharif,rice
65.1,31.7,84.4,clay_loam,kharif,sugarcane
43.6,16.1,58.0,loamy,rabi,mustard
44.9,28.3,56.6,sandy,kharif,sunflower
53.9,31.2,68.4,clay_loam,kharif,maize
81.0,32.4,74.9,clay,kharif,sugarcane
67.0,28.2,57.9,loamy,kharif,maize
42.6,22.3,60.5,loamy,rabi,chickpea
52.9,20.3,69.9,loamy,kharif,sunflower
55.8,23.8,70.4,clay_loam,kharif,maize
28.6,16.0,56.3,sandy,rabi,mustard
41.3,28.8,53.0,sandy,kharif,cotton
52.0,20.4,51.1,clay_loam,rabi,wheat
54.5,19.3,62.7,loamy,rabi,wheat
44.1,22.5,51.7,silty,rabi,wheat
34.4,33.6,61.1,loamy,kharif,cotton
40.8,25.9,52.6,loamy,kharif,sunflower
84.4,25.6,76.8,silty,kharif,rice
34.2,18.2,47.4,loamy,rabi,chickpea
59.2,28.7,70.4,clay_loam,kharif,maize
94.8,30.2,80.4,silty,kharif,rice
55.4,17.8,50.5,clay_loam,rabi,wheat
69.1,25.3,73.9,clay_loam,kharif,sugarcane
37.2,32.6,66.9,loamy,kharif,cotton
49.9,19.4,76.5,loamy,kharif,maize
49.2,21.0,53.8,loamy,kharif,sunflower
86.9,27.3,87.8,silty,kharif,rice
43.6,15.7,46.7,sandy,rabi,mustard
68.2,30.4,74.9,clay,kharif,sugarcane
65.4,28.7,65.4,loamy,kharif,maize
57.5,23.8,51.1,loamy,rabi,wheat
37.2,22.2,65.8,loamy,kharif,sunflower
28.7,10.9,59.9,sandy,rabi,mustard
32.0,10.3,60.1,loamy,rabi,mustard
74.6,31.5,72.0,clay_loam,kharif,sugarcane
83.3,27.6,91.5,clay,kharif,rice
41.1,18.3,55.0,clay_loam,rabi,chickpea
81.0,27.5,84.0,clay,kharif,rice
40.3,13.8,46.6,clay_loam,rabi,chickpea
57.6,23.2,55.8,silty,rabi,wheat
36.6,14.3,44.1,loamy,rabi,mustard
29.2,11.0,46.3,loamy,rabi,mustard
32.0,20.4,56.4,loamy,rabi,chickpea
41.0,17.4,50.6,loamy,rabi,wheat
54.8,25.9,61.7,loamy,rabi,wheat
49.2,30.3,65.0,loamy,kharif,cotton
54.7,22.7,68.7,clay_loam,kharif,maize
48.6,26.0,64.8,loamy,kharif,sunflower
85.7,27.2,82.8,silty,kharif,rice
86.4,33.3,89.0,clay,kharif,sugarcane
30.6,29.4,59.8,sandy,kharif,cotton
35.0,18.0,66.3,clay_loam,rabi,chickpea
46.9,34.6,58.6,sandy,kharif,cotton
44.9,17.4,65.7,clay_loam,rabi,wheat
52.5,18.2,59.6,clay_loam,rabi,chickpea
45.7,25.3,67.9,clay_loam,rabi,chickpea
30.0,12.9,42.3,sandy,rabi,mustard
62.2,30.2,87.4,clay_loam,kharif,sugarcane
38.2,23.3,53.4,loamy,rabi,chickpea
59.9,28.1,71.9,clay_loam,kharif,maize
45.5,24.9,52.4,sandy,kharif,sunflower
40.6,16.4,56.5,loamy,rabi,mustard
44.7,19.4,70.9,silty,rabi,wheat
65.7,29.8,81.3,clay_loam,kharif,sugarcane
35.8,15.9,50.0,sandy,rabi,mustard
68.5,29.8,77.9,clay,kharif,sugarcane
47.4,21.9,63.8,sandy,kharif,sunflower
43.3,10.7,50.6,loamy,rabi,mustard
51.1,28.2,56.4,loamy,kharif,sunflower
49.1,23.7,59.3,loamy,rabi,wheat
79.6,28.9,83.1,clay_loam,kharif,sugarcane
54.4,31.1,63.8,loamy,kharif,sunflower
44.0,13.8,46.5,sandy,rabi,mustard
61.4,29.4,72.7,clay_loam,kharif,maize
77.7,24.3,88.0,clay,kharif,rice
70.3,22.2,72.1,clay_loam,kharif,maize
54.1,22.3,51.2,clay_loam,rabi,wheat
48.3,27.5,51.2,loamy,kharif,sunflower
55.9,26.0,60.3,clay_loam,kharif,maize
90.0,27.9,87.5,clay,kharif,rice
83.9,32.4,88.5,silty,kharif,rice
38.0,31.9,66.2,sandy,kharif,cotton
80.4,32.8,78.0,clay_loam,kharif,sugarcane
28.0,20.6,37.6,sandy,rabi,mustard
65.5,34.0,71.9,clay_loam,kharif,sugarcane
57.3,26.9,66.4,sandy,kharif,sunflower
39.5,20.5,57.5,loamy,rabi,chickpea
57.1,25.9,67.9,loamy,kharif,sunflower
41.0,25.1,53.6,sandy,kharif,sunflower
37.4,31.9,68.5,sandy,kharif,cotton
33.5,18.8,60.2,clay_loam,rabi,chickpea
39.0,12.9,49.7,sandy,rabi,mustard
70.4,30.0,75.5,loamy,kharif,maize
74.2,26.2,77.6,silty,kharif,rice
71.6,27.2,75.9,clay,kharif,rice
77.2,34.8,80.4,silty,kharif,rice
48.8,32.8,55.6,loamy,kharif,cotton
43.8,10.0,54.6,sandy,rabi,mustard
73.8,36.3,76.1,clay,kharif,sugarcane
39.2,35.0,51.6,loamy,kharif,cotton
29.2,14.6,55.1,loamy,rabi,mustard
43.7,33.4,49.4,sandy,kharif,cotton
71.2,30.3,83.1,clay,kharif,rice
36.0,16.7,49.5,loamy,rabi,mustard
81.5,32.9,84.1,silty,kharif,rice
84.7,29.0,88.3,clay,kharif,sugarcane
34.5,15.1,49.1,loamy,rabi,mustard
93.7,34.7,89.4,clay,kharif,rice
33.9,29.5,58.2,sandy,kharif,cotton
38.4,17.0,40.7,loamy,rabi,mustard
79.9,33.9,78.2,clay,kharif,rice
41.4,18.3,53.4,silty,rabi,wheat
57.7,17.2,69.5,clay_loam,rabi,wheat
54.0,19.9,69.1,sandy,kharif,sunflower
38.1,30.8,49.4,sandy,kharif,cotton
36.8,9.4,46.9,sandy,rabi,mustard
91.6,28.8,84.7,clay,kharif,rice
39.8,16.3,65.4,loamy,rabi,chickpea
50.1,19.8,66.0,loamy,kharif,maize
44.9,33.9,54.3,sandy,kharif,cotton
44.5,26.4,55.1,loamy,kharif,sunflower
62.0,25.0,62.8,loamy,kharif,maize
51.2,27.7,63.6,sandy,kharif,sunflower
42.0,20.4,58.4,loamy,rabi,chickpea
